ERR525690,32190448
ERR525691,40464870
ERR525696,32359134
ERR525741,38701110
ERR525750,37340930
ERR525756,41402208
ERR525757,48370738
ERR525802,41776172
ERR525804,50894984
ERR525810,53817202
ERR525811,49904372
ERR525812,39949038
ERR525854,35614488
ERR525861,45806496
ERR525862,31770544
ERR525868,54310576
ERR525869,42637632
ERR525870,40234698
ERR525871,55682174
ERR525921,44760300
ERR525928,60059318
ERR525929,44558910
ERR525982,44772302
ERR525984,41857506
ERR525990,31392336
ERR525991,36336730
ERR526048,38903248
ERR526050,34662230
ERR526072,30334178
